"nama","partai","kota_lahir","kota_terkait"
"Suparna Sastra Diredja","Partai Komunis Belanda",,"Subang"
"Musdah Mulia",,,"Jakarta"
"Heru Cokro",,,"Depok"
"Taufik Basari",,,"New York"
"Julius Usman","Partai Demokrasi Indonesia Perjuangan",,"Jakarta"
"Julius Usman","Partai Demokrasi Indonesia Perjuangan",,"Jakarta Selatan"
"Teten Masduki",,"Garut","Garut"
"Linda Amalia Sari",,"Bandung","Bandung"
"Ester Indahyani Jusuf",,,"Malang"
"Yohanes Jonga",,,
"Chalid Muhammad","Partai","Parigi","Palu"
"Chalid Muhammad","Partai","Parigi","Banjarmasin"
"Joserizal Jurnalis",,"Padang","Padang"
"Denny Indrayana",,,
"Masril Koto",,,"Padang"
"Saldi Isra",,"Solok","Padang"
"Saldi Isra",,"Solok","Yogyakarta"
"Mien Soedarpo",,"Bandung","Bandung"
"Mien Soedarpo",,"Bandung","Jakarta"
"Mien Soedarpo",,"Bandung","Cianjur"
"Rafendi Djamin",,"Padang","Padang"
"Yeni Rosa Damayanti",,"Bandung","Bandung"
"Yeni Rosa Damayanti",,"Bandung","Jakarta"
"Yeni Rosa Damayanti",,"Bandung","Jakarta Timur"
"Utami Roesli",,"Semarang","Jakarta"
"Utami Roesli",,"Semarang","Bandung"
"Utami Roesli",,"Semarang","Semarang"
"Fahira Fahmi Idris","Partai Golkar","Jakarta","Jakarta"
"Fahira Fahmi Idris","Partai Golkar","Jakarta","Bandung"
"Fahira Fahmi Idris","Partai Golkar","Jakarta","Padang"
"Febri Diansyah",,"Padang","Padang"
"Febri Diansyah",,"Padang","Yogyakarta"
"Irma Chaniago","Partai NasDem",,
"Pius Lustrilanang",,"Palembang","Palembang"
"Yetty Rizali Noor",,"Belanda","Jakarta"
"Yetty Rizali Noor",,"Belanda","Padang"
"Yozar Anwar",,"Kerinci","Jakarta"
"Yozar Anwar",,"Kerinci","Padang"
"Yozar Anwar",,"Sungai Penuh","Jakarta"
"Yozar Anwar",,"Sungai Penuh","Padang"
"Djanius Djamin",,,"Medan"
"Lukman Harun","Partai Komunis Indonesia","Suliki Gunung Mas, Lima Puluh Kota","Jakarta"
"Lukman Harun","Partai Komunis Indonesia","Suliki Gunung Mas, Lima Puluh Kota","Payakumbuh"
"Donal Fariz",,,"Padang"
"Firdaus Ilyas",,,
"Taher Marah Soetan",,,"Padang"
"Sastri Yunizarti Bakry",,"Pariaman","Padang"
"Iwan Piliang",,,
"Djusril Djusan",,,"Jakarta"
"Tatty Elmir",,,"Padang"
"Tatty Elmir",,,"Jakarta"
"Tatty Elmir",,,"Surabaya"
"Elmir Amien",,,
"Arif Rahman Hakim",,,"Jakarta"
"Arif Rahman Hakim",,,"Padang"
"Ali Mochtar Ngabalin","Partai Bulan Bintang","Fakfak","Jakarta"
"Ali Mochtar Ngabalin","Partai Bulan Bintang","Fakfak","Makassar"
"Ali Mochtar Ngabalin","Partai Bulan Bintang","Fakfak","Palu"
"Ali Mochtar Ngabalin","Partai Bulan Bintang","Fakfak","Depok"
"Ali Mochtar Ngabalin","Partai Golkar","Fakfak","Jakarta"
"Ali Mochtar Ngabalin","Partai Golkar","Fakfak","Makassar"
"Ali Mochtar Ngabalin","Partai Golkar","Fakfak","Palu"
"Ali Mochtar Ngabalin","Partai Golkar","Fakfak","Depok"
"Velix Wanggai",,"Jayapura","Jayapura"
"Velix Wanggai",,"Jayapura","Yogyakarta"
"Elly Warti Maliki",,"Padang","Padang"
"Elly Warti Maliki",,"Padang","Jakarta"
"Elly Warti Maliki",,"Padang","Malang"
"Elly Warti Maliki",,"Padang","Bogor"
"Alvon Kurnia Palma",,,"Padang"
"Abdurrahman Wahid",,,
